Product,Category,Sales,Region
Laptop,Electronics,45000,North
Mobile,Electronics,30000,South
Tablet,Electronics,18000,East
Headphones,Electronics,5000,West
Printer,Electronics,12000,North
Chair,Furniture,7000,South
Table,Furniture,15000,East
Sofa,Furniture,25000,West
Bed,Furniture,30000,North
Wardrobe,Furniture,22000,South
Notebook,Stationery,1200,East
Pen,Stationery,500,West
Marker,Stationery,800,North
Folder,Stationery,600,South
Backpack,Accessories,3500,East
Watch,Accessories,12000,West
Sunglasses,Accessories,4500,North
Wallet,Accessories,2500,South
Shoes,Fashion,8000,East
Jacket,Fashion,10000,West
