,CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
0,1,Male,38.949748743718594,15,39
1,2,Male,21.0,15,81
2,3,Female,20.0,16,6
3,4,Female,23.0,16,77
4,5,Female,31.0,17,40
5,6,Female,22.0,17,76
6,7,Female,35.0,18,6
7,8,Female,23.0,18,94
8,9,Male,64.0,19,3
9,10,Female,30.0,19,72
10,11,Male,67.0,19,14
11,12,Female,35.0,19,99
12,13,Female,58.0,20,15
13,14,Female,24.0,20,77
14,15,Male,37.0,20,13
15,16,Male,22.0,20,79
16,17,Female,35.0,21,35
17,18,Male,20.0,21,66
18,19,Male,52.0,23,29
19,20,Female,35.0,23,98
20,21,Male,35.0,24,35
21,22,Male,25.0,24,73
22,23,Female,46.0,25,5
23,24,Male,31.0,25,73
24,25,Female,54.0,28,14
25,26,Male,29.0,28,82
26,27,Female,45.0,28,32
27,28,Male,35.0,28,61
28,29,Female,40.0,29,31
29,30,Female,23.0,29,87
30,31,Male,60.0,30,4
31,32,Female,21.0,30,73
32,33,Male,53.0,33,4
33,34,Male,18.0,33,92
34,35,Female,49.0,33,14
35,36,Female,21.0,33,81
36,37,Female,42.0,34,17
37,38,Female,30.0,34,73
38,39,Female,36.0,37,26
39,40,Female,20.0,37,75
40,41,Female,65.0,38,35
41,42,Male,24.0,38,92
42,43,Male,48.0,39,36
43,44,Female,31.0,39,61
44,45,Female,49.0,39,28
45,46,Female,24.0,39,65
46,47,Female,50.0,40,55
47,48,Female,27.0,40,47
48,49,Female,29.0,40,42
49,50,Female,31.0,40,42
50,51,Female,49.0,42,52
51,52,Male,33.0,42,60
52,53,Female,31.0,43,54
53,54,Male,59.0,43,60
54,55,Female,50.0,43,45
55,56,Male,47.0,43,41
56,57,Female,51.0,44,50
57,58,Male,69.0,44,46
58,59,Female,27.0,46,51
59,60,Male,53.0,46,46
60,61,Male,70.0,46,56
61,62,Male,19.0,46,55
62,63,Female,67.0,47,52
63,64,Female,54.0,47,59
64,65,Male,63.0,48,51
65,66,Male,18.0,48,59
66,67,Female,43.0,48,50
67,68,Female,68.0,48,48
68,69,Male,19.0,48,59
69,70,Female,32.0,48,47
70,71,Male,70.0,49,55
71,72,Female,47.0,49,42
72,73,Female,60.0,50,49
73,74,Female,60.0,50,56
74,75,Male,59.0,54,47
75,76,Male,26.0,54,54
76,77,Female,45.0,54,53
77,78,Male,40.0,54,48
78,79,Female,23.0,54,52
79,80,Female,49.0,54,42
80,81,Male,57.0,54,51
81,82,Male,38.0,54,55
82,83,Male,67.0,54,41
83,84,Female,46.0,54,44
84,85,Female,21.0,54,57
85,86,Male,48.0,54,46
86,87,Female,55.0,57,58
87,88,Female,22.0,57,55
88,89,Female,34.0,58,60
89,90,Female,50.0,58,46
90,91,Female,68.0,59,55
91,92,Male,18.0,59,41
92,93,Male,48.0,60,49
93,94,Female,40.0,60,40
94,95,Female,32.0,60,42
95,96,Male,24.0,60,52
96,97,Female,47.0,60,47
97,98,Female,27.0,60,50
98,99,Male,48.0,61,42
99,100,Male,20.0,61,49
100,101,Female,23.0,62,41
101,102,Female,49.0,62,48
102,103,Male,67.0,62,59
103,104,Male,26.0,62,55
104,105,Male,49.0,62,56
105,106,Female,21.0,62,42
106,107,Female,66.0,63,50
107,108,Male,54.0,63,46
108,109,Male,68.0,63,43
109,110,Male,66.0,63,48
110,111,Male,65.0,63,52
111,112,Female,19.0,63,54
112,113,Female,38.0,64,42
113,114,Male,19.0,64,46
114,115,Female,18.0,65,48
115,116,Female,19.0,65,50
116,117,Female,63.0,65,43
117,118,Female,49.0,65,59
118,119,Female,51.0,67,43
119,120,Female,50.0,67,57
120,121,Male,27.0,67,56
121,122,Female,38.0,67,40
122,123,Female,40.0,69,58
123,124,Male,39.0,69,91
124,125,Female,23.0,70,29
125,126,Female,31.0,70,77
126,127,Male,43.0,71,35
127,128,Male,40.0,71,95
128,129,Male,59.0,71,11
129,130,Male,38.0,71,75
130,131,Male,47.0,71,9
131,132,Male,39.0,71,75
132,133,Female,25.0,72,34
133,134,Female,31.0,72,71
134,135,Male,20.0,73,5
135,136,Female,29.0,73,88
136,137,Female,44.0,73,7
137,138,Male,32.0,73,73
138,139,Male,19.0,74,10
139,140,Female,35.0,74,72
140,141,Female,57.0,75,5
141,142,Male,32.0,75,93
142,143,Female,28.0,76,40
143,144,Female,32.0,76,87
144,145,Male,25.0,77,12
145,146,Male,28.0,77,97
146,147,Male,48.0,77,36
147,148,Female,32.0,77,74
148,149,Female,34.0,78,22
149,150,Male,34.0,78,90
150,151,Male,43.0,78,17
151,152,Male,39.0,78,88
152,153,Female,44.0,78,20
153,154,Female,38.0,78,76
154,155,Female,47.0,78,16
155,156,Female,27.0,78,89
156,157,Male,37.0,78,1
157,158,Female,30.0,78,78
158,159,Male,34.0,78,1
159,160,Female,30.0,78,73
160,161,Female,56.0,79,35
161,162,Female,29.0,79,83
162,163,Male,19.0,81,5
163,164,Female,31.0,81,93
164,165,Male,50.0,85,26
